id,salary_in_usd
0,93056.32504715175
1,89410.81157782483
2,78130.49071679186
3,49397.22424667576
4,78536.22417079481
5,82715.17215236054
6,77907.39082165361
7,46767.61427310684
8,77416.55696141298
9,95473.24812493999
10,5691.635179913865
11,98857.34438324989
12,56075.357650306265
13,40088.88485646561
14,80464.26061321984
15,53535.80678972663
16,55652.707352013174
17,79258.52280289515
18,17160.820160808376
19,48570.3787970936
20,54533.22723347855
21,48834.814325451895
22,56354.28088315709
23,111265.69733038616
24,42722.67726839527
25,43661.84523463703
26,56981.360933735195
27,112393.72941648947
28,76768.85954310423
29,68136.03569463549
30,69264.0677807388
31,53597.26467542529
32,36750.30666973647
33,76841.59972510692
34,23547.10199934437
35,43338.78304707413
36,106753.56898597298
37,38494.63162536585
38,26185.07684963476
39,111265.69733038616
40,12459.827696533655
41,24674.1638907425
42,78130.49071679186
43,98857.34438324989
44,56981.360933735195
45,83348.3750307097
46,81514.58697510175
47,16032.78807470508
48,53597.26467542529
49,45638.60515683132
50,56981.360933735195
51,74774.39967276185
52,84898.68323341165
53,81514.58697510175
54,78130.49071679186
55,52218.9105837618
56,98857.34438324989
57,64171.82956695363
58,92089.15186663008
59,95473.24812493999
60,92089.15186663008
61,74324.11834188331
62,95473.24812493999
63,95473.24812493999
64,105625.53689986966
65,94345.21603883669
66,94345.21603883669
67,95473.24812493999
68,92089.15186663008
69,62371.199358691476
70,69106.23402796547
71,95473.24812493999
72,78130.49071679186
73,54286.11063610686
74,58035.58174537191
75,81514.58697510175
76,48084.510479071665
77,52218.9105837618
78,47957.104244908805
79,95050.97200834133
80,53719.518276522256
81,63871.80705145195
82,58109.39301983848
83,114649.79358869606
84,78130.49071679186
85,55603.006842071685
86,55603.006842071685
87,98857.34438324989
88,95473.24812493999
89,32245.379081025298
90,51842.152538743896
91,77771.43261992205
92,83286.91714501103
93,43297.63450470133
94,95473.24812493999
95,72773.81013918137
96,613.8846706212425
97,40561.831677710914
98,33793.63916109112
99,84192.927263907
100,95473.24812493999
101,92089.15186663008
102,92089.15186663008
103,94345.21603883669
104,98857.34438324989
105,5876.316861414667
106,92089.15186663008
