id,salary_in_usd
0,-753664.0
1,-3440640.0
2,-3440640.0
3,-3.739202714119373e+17
4,-2392064.0
5,-2916352.0
6,-8.793738624618572e+20
7,-5406720.0
8,-7.931553053541414e+20
9,-1998848.0
10,8.621855710770433e+19
11,-163840.0
12,-5.906995406514907e+20
13,8.203111990211783e+20
14,2.7155893667009544e+19
15,491520.0
16,-1212416.0
17,-5668864.0
18,6422528.0
19,2326528.0
20,-7.598281871260151e+20
21,-557056.0
22,-5242880.0
23,-32768.0
24,3244032.0
25,2.715589366700684e+19
26,2064384.0
27,-1474560.0
28,9.051209508108239e+18
29,8.203111990211572e+20
30,8.203111990211589e+20
31,-3964928.0
32,5.90699540651465e+20
33,-3801088.0
34,2.7155893667004203e+19
35,7.930451848460096e+20
36,1146880.0
37,2555904.0
38,163840.0
39,-2523136.0
40,8.621855710769843e+19
41,-2916352.0
42,-3964928.0
43,98304.0
44,3637248.0
45,5079040.0
46,-4882432.0
47,-1048576.0
48,-3964928.0
49,-8.203111990211422e+20
50,-2129920.0
51,8.203111990211723e+20
52,-2785280.0
53,-3833856.0
54,-3702784.0
55,-1212416.0
56,2064384.0
57,8617984.0
58,1146880.0
59,-557056.0
60,1146880.0
61,10846208.0
62,-557056.0
63,-2129920.0
64,-950272.0
65,3506176.0
66,3506176.0
67,-557056.0
68,-425984.0
69,-32768.0
70,-2785280.0
71,-3047424.0
72,-1081344.0
73,-1671168.0
74,2.702870948121492e+19
75,-5406720.0
76,-3440640.0
77,360448.0
78,-3571712.0
79,-6979584.0
80,-1081344.0
81,-2523136.0
82,-3571712.0
83,-1212416.0
84,-2129920.0
85,1409024.0
86,1409024.0
87,2064384.0
88,-557056.0
89,-8.217396527107277e+16
90,-1671168.0
91,7569408.0
92,-2392064.0
93,1.4566568199226445e+20
94,-557056.0
95,-1867776.0
96,4292608.0
97,-3375104.0
98,-5832704.0
99,-2129920.0
100,-557056.0
101,1146880.0
102,1146880.0
103,3506176.0
104,2064384.0
105,-4030464.0
106,-425984.0
