id,salary_in_usd
0,131673.26653573426
1,138903.91866044182
2,138903.91866044182
3,72002.1098006966
4,34112.63439439903
5,87685.75338535958
6,105577.81203050893
7,56279.11578065343
8,51291.092563299426
9,174173.99752362227
10,42003.77710455274
11,196941.10565323333
12,61306.95056950493
13,35137.160916256034
14,98165.56643873583
15,50202.92315808013
16,102782.06577048232
17,148990.23326763802
18,51392.113034234506
19,52968.22779965724
20,55292.663513505126
21,56550.528856661156
22,70897.54303679137
23,141906.1850557146
24,-0.20178285721641487
25,35217.778623189
26,99468.0475695887
27,171815.59758306752
28,64871.85328362717
29,133724.78367314368
30,130876.07574843674
31,130559.74150191394
32,122654.074609651
33,59300.07011083254
34,47080.19969272778
35,67076.01404338067
36,171551.744551907
37,19194.0869006277
38,61096.31783710129
39,167548.26784021125
40,23287.70357310922
41,18421.712896425906
42,142923.92977749457
43,182014.88869470407
44,97746.1141822775
45,228588.06308910163
46,130812.84315192356
47,55325.79462499959
48,130559.74150191394
49,32768.28197122558
50,146727.09992352393
51,60373.87648777187
52,145921.29978118584
53,135001.1439266121
54,104471.846962922
55,68491.91099691046
56,157014.64168497687
57,149490.18699439033
58,119951.27911109751
59,142548.02083048405
60,119951.27911109751
61,236523.28581837608
62,142548.02083048405
63,139001.55583056496
64,166911.55382964553
65,159973.0269569856
66,159973.0269569856
67,142548.02083048405
68,107374.76595926404
69,73046.38008837761
70,145921.29978118584
71,168190.1036149807
72,87235.9124053271
73,60419.02992106346
74,85169.141480116
75,131454.678926693
76,60083.16446430184
77,72038.37599682953
78,97505.68355940406
79,143546.89852348136
80,31179.340379032732
81,43206.630749910066
82,105887.44807887594
83,176571.55395054742
84,117048.36011475547
85,72401.42247848089
86,72401.42247848089
87,157014.64168497687
88,142548.02083048405
89,46317.78369980474
90,47321.8587927082
91,67254.52897550848
92,92040.9310034568
93,57432.94927063786
94,142548.02083048405
95,145668.19813117615
96,37524.99130545878
97,71653.28599531346
98,62220.95447903295
99,139001.55583056496
100,142548.02083048405
101,119951.27911109751
102,119951.27911109751
103,159973.0269569856
104,157014.64168497687
105,50684.6932262762
106,107374.76595926404
