id,salary_in_usd
0,110143.58266363933
1,103878.46332675869
2,93980.61909448252
3,212505.1953297207
4,60055.24145501468
5,99796.67969243445
6,60517.03414755725
7,61839.6016940737
8,44011.81072748895
9,21115.462753782333
10,41724.135518648
11,107295.4113351245
12,106099.62678202747
13,63274.147230049595
14,114342.25124214795
15,124607.92470845002
16,76103.37405220894
17,114428.99506785754
18,54026.738036783165
19,106145.78301118464
20,111886.68487625312
21,61839.6016940737
22,130743.76798080077
23,121925.65857580905
24,59762.34993000454
25,59762.34993000454
26,107295.4113351245
27,120111.72746893176
28,46973.08845680821
29,44148.97095111913
30,30216.27552033106
31,89955.60296233527
32,56929.955637647436
33,55157.7971855183
34,71381.51738584766
35,120137.05662300574
36,109839.01314889119
37,83681.10119288642
38,59254.969551920956
39,121925.65857580905
40,114804.62958898931
41,118705.67231737639
42,93980.61909448252
43,36960.3140143222
44,107295.4113351245
45,121925.65857580905
46,21115.462753782333
47,109462.32583033174
48,89955.60296233527
49,200196.219989691
50,36960.3140143222
51,60253.11415446464
52,107295.4113351245
53,89955.60296233527
54,93980.61909448252
55,110102.39836847624
56,107295.4113351245
57,93980.61909448252
58,27755.340300554853
59,21115.462753782333
60,93980.61909448252
61,28140.937080399308
62,21115.462753782333
63,349007.1126217823
64,103499.26728621974
65,190510.4217016119
66,89955.60296233527
67,21115.462753782333
68,93980.61909448252
69,65439.573167160706
70,7235.161383603496
71,89955.60296233527
72,93980.61909448252
73,56867.39319072215
74,111575.52366405846
75,190510.4217016119
76,59703.94041904246
77,110102.39836847624
78,15595.429453953362
79,39446.06931318602
80,107091.6101719443
81,119476.47811141722
82,31174.48223849763
83,46061.346008001026
84,93980.61909448252
85,124607.92470845002
86,124607.92470845002
87,107295.4113351245
88,89955.60296233527
89,32356.511047898046
90,77835.30600480293
91,48965.97846971104
92,124028.93717094134
93,117497.42018442556
94,89955.60296233527
95,46061.346008001026
96,102361.47822774283
97,83681.10119288642
98,64340.45951602893
99,94327.00443096492
100,21115.462753782333
101,27755.340300554853
102,93980.61909448252
103,190510.4217016119
104,107295.4113351245
105,64340.45951602893
106,93980.61909448252
